	Done	252														
	Total	252														
	Link	Type	Name	Opt	LN	LMO	P	RMO	RN	LR	RR	Description	full			lhsLength
	eq	verb	Self-Classify				=		y		_	compare unique items against all items; consider using ``i.~ RN``	full	0		0
	eq#dyadic	verb	Equal		x		=		y	0	0	compare corresponding atoms, ``1`` if equal, ``0`` if not; to compare two entire nouns for equality, use Match ``-:``	full	251	x 	2
	eqdot	copula	Is (Local)				=.					private assignment, supports unpacking	full	1		0
	eqco	copula	Is (Global)				=:					public assignment, supports unpacking	full			0
	lt	verb	Box				<		y		_	convert to boxed form, useful for heterogeneous arrays	full			0
	lt#dyadic	verb	Less Than		A		<		B	0	0	compare corresponding atoms, wherever ``LN`` is less than ``RN``, return ``1``, else ``0``	full		A 	2
	ltdot	verb	Floor				<.		B		0	largest integer less than or equal to ``RN``	full			0
	ltdot#ComplexFloor	verb	Complex Floor				<.		D		0	see docs for the description	full			0
	ltdot#dyadic	verb	Lesser Of (Min)		A		<.		B	0	0	the lesser atoms of arguments	full		A 	2
	ltco	verb	Decrement				<:		B		0	equivalent to ``RN - 1``	full			0
	ltco#dyadic	verb	Less Or Equal		A		<:		B	0	0	compare corresponding atoms, wherever ``LN`` is less than, or equal to, ``RN``, return ``1``, else ``0``	full		A 	2
	gt	verb	Open				>		y		0	open boxed elements	full			0
	gt#dyadic	verb	Larger Than		A		>		B	0	0	compare corresponding atoms, wherever ``LN`` is greater than ``RN``, return ``1``, else ``0``	full		A 	2
	gtdot	verb	Ceiling				>.		B		0	smallest integer greater than or equal to ``RN``, equivalent to ``- <. - RN``	full			0
	gtdot#ComplexCeiling	verb	Complex Ceiling				>.		D		0	see Complex Floor docs for the description	full			0
	gtdot#dyadic	verb	Larger Of (Max)		A		>.		B	0	0	the larger atoms of arguments	full		A 	2
	gtco	verb	Increment				>:		B		0	equivalent to ``RN + 1``	full			0
	gtco#dyadic	verb	Larger Or Equal		A		>:		B	0	0	compare corresponding atoms, wherever ``LN`` is greater than, or equal to, ``RN``, return ``1``, else ``0``	full		A 	2
	under	noun	Negative Sign				_					as the first character of a numeric constant, acts as a negative sign	full			0
	under	noun	Infinity				_					standing by itself, represents the value Infinity	full			0
	underdot	noun	Indeterminate				_.					a placeholder broadly comparable with NaN (not a number)	full			0
	underco	verb	Infinite	1	x		_:		y	_	_	Infinity (``_``), whatever the arguments happen to be	full		[x] 	4
	plus	verb	Conjugate				+		B		0	complex conjugate of the number	full			0
	plus#dyadic	verb	Plus		A		+		B	0	0	add two numeric nouns	full		A 	2
	plusdot	verb	Real / Imag				+.		B		0	decompose complex number into real and imaginary parts	full			0
	plusdot#dyadic	verb	GCD (Or)		A		+.		B	0	0	logical OR (disjunction) between Booleans, no short-circuit; Greatest Common Divisor	full		A 	2
	plusco	verb	Double				+:		B		0	equivalent to ``2 * RN``	full			0
	plusco#dyadic	verb	Not-Or		G		+:		H	0	0	logical NOR (Peirce's arrow), equivalent to ``-. LN +. RN``	full		G 	2
	star	verb	Signum				*		B		0	sign of the number; a point on the unit circle for complex numbers ``RN % | RN``	full			0
	star#dyadic	verb	Times		A		*		B	0	0	product of two numeric nouns	full		A 	2
	stardot	verb	Length / Angle				*.		B		0	convert a complex number to polar coordinates	full			0
	stardot#dyadic	verb	LCM (And)		A		*.		B	0	0	logical AND; Least Common Multiple in general	full		A 	2
	starco	verb	Square				*:		B		0	square of numeric noun	full			0
	starco#dyadic	verb	Not-And		G		*:		H	0	0	logical NAND, equivalent to ``-. LN *. RN``	full		G 	2
	minus	verb	Negate				-		B		0	negate; don't confuse it with Negative Sign (``_``)	full			0
	minus#dyadic	verb	Minus		A		-		B	0	0	subtract ``RN`` from ``LN``	full		A 	2
